longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,,ocean_proximity,income_cat,,median_house_value,median_house_value prediction
-121.92,37.3,36,2088,358,772,347,4.2762,,<1H OCEAN,3,,310100,287427.01
-117.26,32.95,22,5484,1227,1947,1012,4.4375,,NEAR OCEAN,3,,500001,324241.03
-119.01,35.37,33,821,181,579,172,1.2469,,INLAND,1,,46700,57912
-117.67,33.49,15,2782,579,983,525,2.1935,,<1H OCEAN,2,,183300,187287.13
-117.81,35.65,19,1124,290,598,261,1.8984,,INLAND,2,,54300,75285.99
-118.42,33.98,3,475,155,236,153,3.6667,,<1H OCEAN,3,,450000,320211.11
-122.4,37.76,52,1495,311,506,275,4.4375,,NEAR BAY,3,,320000,307997.03
-119.84,36.81,18,2789,378,937,364,7.7062,,INLAND,5,,188300,250838
-121.43,37.75,42,1207,278,699,279,3.3611,,INLAND,3,,117600,122426
-118.22,34.09,36,1427,415,1835,410,2.48,,<1H OCEAN,2,,138900,152022
-117.04,32.55,15,2206,648,2511,648,1.6348,,NEAR OCEAN,2,,93200,121386
-117.14,33.15,16,1129,198,758,178,5.0346,,<1H OCEAN,4,,174600,194267
-117.94,34.04,36,1431,354,1367,334,3.5592,,<1H OCEAN,3,,160200,156513
-117.93,34.57,5,5613,1060,3569,999,3.1946,,INLAND,3,,132700,133277
-118.37,34.16,25,2450,618,1054,578,3.6375,,<1H OCEAN,3,,262500,286616
-117.1,34.21,22,4397,931,1145,445,4.5268,,INLAND,4,,108400,144072
-122.42,40.44,16,994,,495,181,2.1875,,INLAND,2,,76400,86870
-121.47,38.54,47,2085,464,1346,402,1.2679,,INLAND,1,,56700,72639
-118.14,34.08,30,1433,397,1110,346,2.3464,,<1H OCEAN,2,,191700,208286.04
-118.39,34.23,18,3405,831,3001,795,3.0083,,<1H OCEAN,3,,181900,183785
-121.41,38.69,28,1601,308,848,305,3.6429,,INLAND,3,,105200,108696
-123.8,39.44,33,2024,459,1019,422,1.9208,,<1H OCEAN,2,,93600,99522
-117.71,33.54,7,4907,577,1883,556,10.4415,,<1H OCEAN,5,,453800,474405.73
-121.5,38.56,46,2646,645,1684,616,1.128,,INLAND,1,,123100,93676
-117.24,32.75,36,2831,669,1279,660,2.9896,,NEAR OCEAN,2,,252700,260700.01
-118.26,33.82,28,5091,1074,4753,1033,3.6477,,<1H OCEAN,3,,117400,193726
-117.95,33.71,16,6058,1715,3285,1495,3.4133,,<1H OCEAN,3,,290900,184217
-117.24,32.75,41,1989,514,1015,489,2.79,,NEAR OCEAN,2,,226000,257010
-121.35,38.04,12,6217,1019,3771,961,3.7206,,INLAND,3,,146000,133818
-117.57,33.88,39,679,164,769,179,2.3036,,INLAND,2,,110600,123267
-117.24,32.94,12,2165,437,792,386,5.2648,,NEAR OCEAN,4,,294400,270734.04
-121.63,39.12,34,1991,348,804,344,3.4492,,INLAND,3,,98800,126529
-117.9,33.8,27,2176,442,1440,418,4.375,,<1H OCEAN,3,,212500,198235
-122.01,38.26,12,4132,710,2087,633,4.5987,,INLAND,4,,139700,158712
-118.44,34.17,29,2685,642,1085,599,3.2763,,<1H OCEAN,3,,279400,285372.04
-117.92,33.9,13,1814,320,1010,313,6.3489,,<1H OCEAN,5,,337900,289283.02
-122.64,38.01,36,1336,258,678,249,5.5789,,NEAR OCEAN,4,,292000,327147.01
-119.97,36.44,18,1128,237,772,220,2.1771,,INLAND,2,,39200,69235
-117.95,33.79,34,2912,520,1625,501,4.4667,,<1H OCEAN,3,,190600,202538
-118.05,33.84,21,4890,653,2295,654,6.983,,<1H OCEAN,5,,329700,354382.06
-121.26,37.95,44,819,184,677,183,1.725,,INLAND,2,,59300,71432
-118.96,37.64,11,3934,697,901,345,4.2381,,INLAND,3,,242700,128361
-121.64,39.11,18,3212,542,1817,508,3.3793,,INLAND,3,,92900,120363
-117.12,32.76,28,2160,608,1339,571,1.9152,,NEAR OCEAN,2,,128100,126376
-116.92,32.86,11,2204,518,1472,497,2.3693,,<1H OCEAN,2,,127000,134722
-118.83,34.33,6,6679,1164,3196,1157,5.4493,,<1H OCEAN,4,,242600,265232.02
-122.39,37.78,3,3464,1179,1441,919,4.7105,,NEAR BAY,4,,275000,280724.13
-117.25,32.73,38,1840,291,633,283,4.9125,,NEAR OCEAN,4,,383600,397517.13
-120.84,35.3,15,2062,327,781,316,4.9359,,NEAR OCEAN,4,,317700,252005
-117.98,33.7,17,1997,340,952,341,4.4148,,<1H OCEAN,3,,239200,225770
-122.24,37.77,52,1153,235,481,223,2.6411,,NEAR BAY,2,,241000,171973.01
-121.36,38.66,22,2878,599,1362,541,2.7955,,INLAND,2,,96500,132361
-122.5,37.92,32,2639,415,1013,408,6.1632,,NEAR BAY,5,,349200,380193.08
-120.84,37.48,10,2874,612,1960,596,2.7381,,INLAND,2,,104600,108422
-118.31,33.88,21,1490,430,686,400,2.3812,,<1H OCEAN,2,,237500,211700.01
-118.09,34.68,4,23386,4171,10493,3671,4.0211,,INLAND,3,,144000,141829
-119.23,35.77,26,2636,468,1416,485,4.1917,,INLAND,3,,84000,93056
-118.32,34.19,37,1519,331,613,315,3.0179,,<1H OCEAN,3,,272500,239897.02
-118.52,34.22,35,1275,222,959,226,5.0282,,<1H OCEAN,4,,195400,213755.01
-118.3,34.1,25,3926,1715,4865,1612,1.6112,,<1H OCEAN,2,,262500,184954.01
-121.25,36.32,12,4776,1082,4601,1066,2.9184,,<1H OCEAN,2,,100500,152683
-118.15,33.94,36,1948,341,992,363,4.2594,,<1H OCEAN,3,,242400,234420
-117.43,34.01,34,2101,426,1150,377,3.0909,,INLAND,3,,98300,110460
-122.56,37.9,48,1550,253,641,276,8.634,,NEAR BAY,5,,463500,459134.44
-120.84,37.51,20,1901,313,1258,320,3.8958,,INLAND,3,,126800,137431
-118.28,34.06,52,936,454,990,354,1.1122,,<1H OCEAN,1,,187500,221768
-119.17,34.15,18,2509,688,3129,677,2.6098,,NEAR OCEAN,2,,146100,327390.04
-122.04,37.35,28,1582,264,696,270,5.678,,<1H OCEAN,4,,370100,317355.05
-122.28,37.87,52,1813,353,828,339,3.5625,,NEAR BAY,3,,191700,218725.01
-118.06,33.91,24,4880,1044,4516,1050,4.1387,,<1H OCEAN,3,,157700,194250
-118.47,34.15,43,804,117,267,110,8.2269,,<1H OCEAN,5,,500001,467435.69
-118.48,34.04,47,1956,277,724,277,8.9616,,<1H OCEAN,5,,500001,490518.89
-117.08,32.76,27,1221,254,606,259,3.0833,,NEAR OCEAN,3,,155400,189041
-118.71,34.3,20,1586,187,699,209,6.5483,,<1H OCEAN,5,,335000,302990.08
-118.2,34.04,18,796,227,547,218,1.0333,,<1H OCEAN,1,,135400,170074
-122.04,37.88,32,3250,550,1230,557,4.6424,,NEAR BAY,4,,312700,299539.01
-117.76,33.83,15,3086,457,1262,436,6.4415,,<1H OCEAN,5,,300700,292170
-117.11,33.74,18,4799,1035,1966,944,2.1182,,INLAND,2,,71300,103386
-122.22,37.84,50,2935,473,1031,479,7.5,,NEAR BAY,5,,295200,345502.02
-115.37,32.82,30,1602,322,1130,335,3.5735,,INLAND,3,,71100,84477
-118.11,34.16,52,3158,459,1229,444,5.4223,,INLAND,4,,325600,342109
-116.76,34.23,10,4374,989,1020,376,2.6071,,INLAND,2,,89000,99646
-122.12,37.42,36,2607,551,1165,523,5.1524,,NEAR BAY,4,,373100,357339.11
-117.23,32.78,35,1649,355,746,360,4.6293,,NEAR OCEAN,4,,356500,262703.03
-118.44,34.19,19,3487,959,2278,835,2.6709,,<1H OCEAN,2,,215500,211333
-120.9,37.64,26,1762,418,855,308,1.6767,,INLAND,2,,81300,90467
-117.27,34.05,34,1703,395,849,359,3.1607,,INLAND,3,,138200,110187
-120.85,37.06,31,2609,645,1796,629,1.5479,,INLAND,2,,82000,81414
-116.99,32.7,15,3660,622,2629,612,4.0444,,NEAR OCEAN,3,,150100,156235
-121.6,39.15,19,1396,336,940,309,1.5208,,INLAND,2,,70300,102423
-117.32,34.55,18,279,59,188,60,0.8246,,INLAND,1,,91700,95052
-121.47,38.49,17,3595,790,2760,770,2.3233,,INLAND,2,,78800,99973
-118.45,34.23,15,5738,1767,4620,1581,2.3584,,<1H OCEAN,2,,157600,183250.01
-118.08,34.12,27,1685,341,757,317,4.2434,,<1H OCEAN,3,,270500,266410.01
-117.96,33.94,31,2397,518,1407,476,2.6641,,<1H OCEAN,2,,185200,190398
-118.14,34.06,27,5257,1082,3496,1036,3.3906,,<1H OCEAN,3,,237200,238645
-118.88,34.17,15,4260,,1701,669,5.1033,,<1H OCEAN,4,,410700,301758.07
-117.23,33.77,5,2108,496,1666,461,2,,INLAND,2,,83000,102494
-117.88,33.85,26,3924,781,2332,725,3.7772,,<1H OCEAN,3,,223900,203767
-121.3,38.03,13,1014,200,712,197,3.1471,,INLAND,3,,102800,119471
-117.9,33.99,18,8076,1789,5325,1707,3.443,,<1H OCEAN,3,,171900,187801
-117.24,32.74,44,1488,259,667,281,4.0862,,NEAR OCEAN,3,,321800,323816.03
-124.18,40.78,33,1076,222,656,236,2.5096,,NEAR OCEAN,2,,72200,75812
-118.1,33.91,35,1592,335,1238,320,4.9732,,<1H OCEAN,4,,165000,181846
-122.06,37.77,12,14316,2045,5781,2007,7.2634,,NEAR BAY,5,,341600,363461.1
-121.68,39.15,14,2774,451,1292,428,4.3833,,INLAND,3,,115200,136034
-117.14,32.7,32,1280,353,1335,330,1.6023,,NEAR OCEAN,2,,77300,86475
-117.02,32.76,15,1204,326,543,326,1.0278,,<1H OCEAN,1,,154200,145657
-117.86,33.62,17,2975,371,1247,398,10.1989,,<1H OCEAN,5,,500001,457544.42
-117.13,32.79,35,1362,243,698,255,3.6458,,NEAR OCEAN,3,,173800,167717
-118.2,34.04,52,1249,307,1223,297,2.07,,<1H OCEAN,2,,136300,143786
-120.57,38.2,13,4110,847,1796,706,2.6417,,INLAND,2,,122300,129196
-118.17,33.96,25,2249,681,2621,628,2.3,,<1H OCEAN,2,,164200,159843
-117.74,33.46,9,6564,1316,1720,904,4.89,,<1H OCEAN,4,,454100,269619.02
-117.18,34.54,5,3772,619,2097,635,3.8194,,INLAND,3,,98500,123910
-118.42,34.18,40,1013,150,449,166,5.7143,,<1H OCEAN,4,,382400,359274.07
-119.69,34.38,39,1383,459,677,362,2.25,,NEAR OCEAN,2,,281300,270674.06
-117.27,33.03,19,2899,499,1356,512,4.87,,NEAR OCEAN,4,,220900,295385.01
-118.41,34.25,36,1146,259,1173,272,3.6016,,<1H OCEAN,3,,153800,156473
-118.66,34.02,23,8798,1465,2750,1208,8.7364,,NEAR OCEAN,5,,500001,469600.61
-122.15,37.74,43,1383,275,853,272,3.5083,,NEAR BAY,3,,122000,140802
-120.85,37.49,39,2840,733,2606,737,1.9429,,INLAND,2,,76400,77050
-118.29,34.17,12,2238,682,1882,611,2.9,,<1H OCEAN,2,,208300,236692
-122.7,38.43,28,1585,412,1362,424,1.6685,,<1H OCEAN,2,,114100,154225
-117.76,33.86,14,3666,442,1400,433,10.1316,,<1H OCEAN,5,,500001,435676.26
-122.58,38.15,9,1302,177,682,190,7.5,,<1H OCEAN,5,,423200,355495.16
-118.32,34.04,39,2965,812,2638,794,2.532,,<1H OCEAN,2,,172700,194639.01
-120.46,36.87,20,1287,310,954,269,1.3386,,INLAND,1,,63000,57787
-117.92,33.7,15,3201,,1510,622,4.2708,,<1H OCEAN,3,,161700,195817
-121.59,39.39,22,2515,482,1284,462,2.1776,,INLAND,2,,73800,65742
-117.94,34.02,27,5026,955,3899,930,3.871,,<1H OCEAN,3,,162900,176358
-120.45,34.94,26,1058,232,891,243,3.6422,,<1H OCEAN,3,,120600,182524
-117.12,32.76,23,2681,717,1279,648,2.1597,,NEAR OCEAN,2,,116100,124908
-117.34,34,27,321,64,214,67,3.175,,INLAND,3,,101600,113244
-118.05,34.1,30,2143,427,1107,416,4.2321,,INLAND,3,,252200,239961
-118.19,33.82,19,2953,895,1914,855,3.5521,,NEAR OCEAN,3,,290000,230275
-117.38,34.06,17,3139,569,1612,516,3.3571,,INLAND,3,,112300,116863
-121.27,37.97,39,1023,243,550,224,1.1141,,INLAND,1,,54400,74240
-122.18,39.75,30,4157,834,1885,774,1.6948,,INLAND,2,,67500,66991
-118.49,34.03,32,3851,900,1456,836,4.5208,,<1H OCEAN,4,,442100,449849.29
-117.68,33.54,5,2840,403,1363,403,7.618,,<1H OCEAN,5,,341400,323076
-122.92,39.05,38,3131,624,1591,568,2.5457,,INLAND,2,,80700,112553
-120,38.92,26,529,116,191,83,3.5,,INLAND,3,,103600,130118
-121.2,37.79,36,866,160,502,149,2.4798,,INLAND,2,,101500,103421
-117.3,34.11,42,525,111,444,120,2.6771,,INLAND,2,,67000,77225
-118.38,33.86,24,3124,560,1312,542,6.3021,,<1H OCEAN,5,,333800,334762.01
-117.01,33.75,15,2873,903,1094,659,1.8015,,INLAND,2,,105100,105812
-118.04,33.99,47,2530,565,1262,509,3.6475,,<1H OCEAN,3,,197100,207178
-121.25,38.69,24,1014,185,606,194,4.1607,,INLAND,3,,112800,156870
-122.09,37.65,35,1130,192,543,184,4.3897,,NEAR BAY,3,,190600,195037
-121.26,37.96,43,940,208,690,181,2.3056,,INLAND,2,,62300,80425
-117.35,33.97,27,3960,886,2807,838,3.024,,INLAND,3,,122500,109342
-118.2,33.91,36,2283,499,1836,462,2.8793,,<1H OCEAN,2,,118100,139404
-118.46,34.02,46,2571,502,1225,501,6.0436,,<1H OCEAN,5,,473000,422516.2
-118.32,33.94,37,1487,296,863,291,3.1563,,<1H OCEAN,3,,186200,152753
-118.25,33.8,36,1697,394,1274,396,3.35,,<1H OCEAN,3,,163100,168078
-119.75,36.75,49,2331,460,1290,477,2.5111,,INLAND,2,,55400,68391
-122.24,38.14,15,8479,1759,5008,1646,3.724,,NEAR BAY,3,,131600,160373
-119.05,36.07,21,2472,523,1238,504,1.7756,,INLAND,2,,62900,69675
-120.82,37.49,25,1611,285,882,261,3.5547,,INLAND,3,,122400,137845
-121.96,37.06,16,1321,224,650,206,6.3258,,NEAR OCEAN,5,,390000,311998.04
-122.13,37.45,37,1287,197,510,206,7.9029,,NEAR BAY,5,,500001,470016.71
-118.05,33.82,25,1548,279,732,265,5.123,,<1H OCEAN,4,,159600,226246
-122.03,38.25,13,3334,541,1923,538,4.0905,,INLAND,3,,134800,142164
-121.94,37.33,36,1893,359,797,360,3.6818,,<1H OCEAN,3,,257600,261245
-118,33.73,26,2236,280,809,282,6.7395,,<1H OCEAN,5,,342800,321704
-118.32,33.89,44,1300,252,695,249,5.1669,,<1H OCEAN,4,,220600,262215.05
-122.05,37.95,22,5175,1213,2804,1091,2.85,,NEAR BAY,2,,144600,175214
-118.23,34.16,31,3105,582,1359,547,5.1718,,<1H OCEAN,4,,429100,299804.12
-121.46,38.61,43,705,178,464,159,2.4205,,INLAND,2,,60900,117530
-117.14,32.71,52,800,313,1337,282,1.5594,,NEAR OCEAN,2,,87500,88463
-122.46,37.71,47,1527,283,1102,282,4,,NEAR OCEAN,3,,231600,243350
-121.49,38.53,40,2966,536,1225,505,3.125,,INLAND,3,,130600,114421
-118.49,34.22,30,1756,314,899,288,5.0325,,<1H OCEAN,4,,238200,231398.01
-122.03,37.69,20,200,25,83,31,6.5,,NEAR BAY,5,,340000,296420
-117.62,33.77,43,1911,439,930,433,4.6369,,<1H OCEAN,4,,186400,227757.01
-118.07,34.12,30,2201,559,1194,531,4.1136,,INLAND,3,,279900,255737
-118.1,33.96,36,2013,435,1476,475,3.9549,,<1H OCEAN,3,,192100,170194
-118.36,34.03,43,1690,379,1017,359,2.1078,,<1H OCEAN,2,,133500,147560
-117.27,34.17,16,30,3,49,8,4.625,,INLAND,4,,250000,198266.07
-121.62,36.63,52,1437,298,836,257,3.6286,,<1H OCEAN,3,,165500,236050
-118.53,34.26,18,3674,,1590,550,8.176,,<1H OCEAN,5,,308400,408274.18
-118.52,34.04,47,1985,315,819,340,6.5147,,<1H OCEAN,5,,500001,449956.44
-122.4,37.73,42,1413,406,1027,362,2.3625,,NEAR BAY,2,,233000,216793.03
-117.84,33.66,5,1688,430,857,402,3.7857,,<1H OCEAN,3,,231600,247188.04
-122,37.96,28,4071,713,2033,647,4.5833,,INLAND,4,,190700,173484
-118.29,33.96,36,1717,417,902,368,1.4868,,<1H OCEAN,1,,113200,112072
-121.53,39.53,35,1806,293,683,295,4.5156,,INLAND,4,,91200,142024
-121.99,37.34,27,3353,653,1571,621,5.273,,<1H OCEAN,4,,315600,318674.01
-122.23,40.2,17,762,138,322,139,4.2917,,INLAND,3,,128800,134567
-117.25,32.73,37,2224,331,821,341,6.3331,,NEAR OCEAN,5,,400000,412620.21
-118.38,33.81,41,1889,301,802,278,6.015,,NEAR OCEAN,5,,488500,389905.22
-122,37.28,35,3133,541,1449,555,5.7295,,<1H OCEAN,4,,346100,328996
-118.19,33.79,29,3497,1096,2994,919,1.8109,,NEAR OCEAN,2,,137500,146662
-118.26,33.94,45,1080,218,850,237,2.25,,<1H OCEAN,2,,93400,113715
-117.64,33.88,13,8010,1366,3920,1309,5.536,,<1H OCEAN,4,,204800,239660
-122.41,37.61,43,1934,303,847,300,4.7381,,NEAR OCEAN,4,,347400,328237.02
-117.87,33.87,7,2663,642,1367,677,4.6563,,<1H OCEAN,4,,162400,193989
-116.47,33.84,3,9169,1512,3838,1270,4.3111,,INLAND,3,,142500,183548.01
-118.47,34.19,41,1104,196,495,196,5.0929,,<1H OCEAN,4,,225000,263637
-119.84,34.44,28,977,162,537,159,4.2404,,NEAR OCEAN,3,,274300,291372
-120.44,34.65,30,2265,512,1402,471,1.975,,NEAR OCEAN,2,,134000,150467
-118.1,33.9,37,796,175,740,183,3.6,,<1H OCEAN,3,,156400,170023
-118.25,33.93,42,763,191,754,174,2.0486,,<1H OCEAN,2,,101800,94987
-117.07,32.63,37,2372,444,1056,419,3.7583,,NEAR OCEAN,3,,145500,147234
-122.33,38.33,15,3193,468,1303,426,5.3017,,NEAR BAY,4,,202600,231461
-118.37,34.04,43,1465,278,727,290,4.0781,,<1H OCEAN,3,,289400,268870.06
-121.88,37.39,13,3334,565,2240,561,7.105,,<1H OCEAN,5,,273900,336346
-121.22,37.72,34,2123,387,1310,368,2.6368,,INLAND,2,,165600,98481
-121.29,36.9,17,3610,593,1734,559,5.8324,,INLAND,4,,374200,239091
-122.96,38.42,50,2530,524,940,361,2.9375,,<1H OCEAN,2,,122900,167358
-121.84,37.32,14,5762,1538,3979,1389,3.6953,,<1H OCEAN,3,,192600,214956
-119.56,36.09,14,1267,290,1077,279,1.85,,INLAND,2,,52300,56383
-117.13,32.91,16,2715,581,1619,584,4,,<1H OCEAN,3,,154700,165871
-118.99,35.4,43,2225,392,890,374,4.0208,,INLAND,3,,90400,97915
-118.04,33.83,20,1488,312,972,283,4.055,,<1H OCEAN,3,,201900,205097
-121.95,36.61,31,1736,250,497,170,6.3835,,NEAR OCEAN,5,,407800,408936.29
-122.29,37.48,15,5480,892,2009,831,7.4678,,NEAR OCEAN,5,,500001,439685.38
-122.3,37.52,38,2769,387,994,395,5.5902,,NEAR OCEAN,4,,417000,383867.06
-122.34,37.93,30,2515,481,1327,428,2.1287,,NEAR BAY,2,,95000,112342
-117.33,34.03,18,2342,402,1264,382,4.7986,,INLAND,4,,123700,149545
-122.5,37.76,52,2018,422,1142,463,3.7083,,NEAR OCEAN,3,,307700,304683.01
-121.03,37.69,5,4034,771,1967,742,3.8065,,INLAND,3,,146000,144296
-118.28,33.74,16,855,271,486,250,0.7591,,NEAR OCEAN,1,,350000,197863
-118.1,33.82,36,1930,354,915,328,5.2713,,<1H OCEAN,4,,244400,243559
-121.37,38.01,15,2430,315,1016,314,10.0088,,INLAND,5,,242000,408440.31
-118.2,34.2,44,2890,438,1219,429,6.987,,<1H OCEAN,5,,500001,431828.31
-121.84,36.61,26,2902,761,2258,719,2.5663,,<1H OCEAN,2,,128900,163666
-119.52,34.4,20,1834,477,1305,417,3.2125,,NEAR OCEAN,3,,251000,248164
-117.98,34,22,3632,538,1968,566,6.019,,<1H OCEAN,5,,324900,262761.03
-118.42,37.36,18,2281,520,1425,465,1.7388,,INLAND,2,,54400,110470
-115.54,32.98,27,1513,395,1121,381,1.9464,,INLAND,2,,60600,63785
-122.36,37.95,40,408,102,302,81,1.8333,,NEAR BAY,2,,69800,99204
-117.29,32.92,25,2355,381,823,358,6.8322,,NEAR OCEAN,5,,500001,369421.21
-116.25,33.75,33,278,91,375,81,2.025,,INLAND,2,,50000,70469
-117.34,33.98,10,17286,4952,9851,4616,1.7579,,INLAND,2,,103400,105310
-119.78,36.27,29,1871,315,1066,309,4.5714,,INLAND,4,,100800,130728
-120.1,39.33,9,2738,510,1193,412,4.3958,,INLAND,3,,124800,153678
-122.04,37.96,16,2913,723,1705,693,2.9097,,NEAR BAY,2,,106300,163328
-117.91,33.65,19,1589,421,1118,394,4.1029,,<1H OCEAN,3,,213400,230395.01
-118.99,34.23,9,10618,1617,4830,1606,6.6246,,<1H OCEAN,5,,284200,337033.08
-119.27,34.29,32,2274,406,982,393,5.3254,,NEAR OCEAN,4,,385200,324929.03
-118.32,34.03,50,1845,349,1109,335,2.8971,,<1H OCEAN,2,,127800,144180.01
-117.2,33.2,16,4409,629,1875,609,5.543,,<1H OCEAN,4,,286400,297341.01
-117.81,33.71,16,2666,387,1227,347,7.3769,,<1H OCEAN,5,,302400,321234.01
-118.31,33.98,52,1837,426,1062,343,2,,<1H OCEAN,2,,96500,113156
-122.3,37.88,46,1647,376,854,355,2.9,,NEAR BAY,2,,144800,206859
-118.65,34.18,26,4607,656,1769,643,7.4918,,<1H OCEAN,5,,367600,383539.05
-118.39,34.01,25,1101,285,543,294,2.3571,,<1H OCEAN,2,,340600,227952.03
-117.94,33.65,20,5476,1073,2327,963,5.6637,,<1H OCEAN,4,,222100,315805.06
-122.28,37.5,33,6499,998,2694,957,7.4787,,NEAR OCEAN,5,,431300,446811.14
-121.96,37.81,12,6488,778,2404,765,8.3188,,<1H OCEAN,5,,403400,400651.06
-122.43,37.8,52,2802,622,954,572,4.5399,,NEAR BAY,4,,500001,489487.83
-119.77,36.79,34,2679,460,1141,470,3.2642,,INLAND,3,,89600,83931
-122.41,40.58,35,2072,385,1029,375,2.8512,,INLAND,2,,75600,91718
-118.14,34.03,44,2003,390,1291,392,4.0625,,<1H OCEAN,3,,201100,210235
-119.45,36.35,22,1824,333,1076,282,2.3365,,INLAND,2,,69600,75310
-118.46,34,36,1392,260,679,247,4.7344,,<1H OCEAN,4,,346900,390774.16
-122.24,40.45,27,1804,321,782,300,3.5978,,INLAND,3,,80600,94558
-117.25,32.78,21,1479,484,658,384,2.45,,NEAR OCEAN,2,,350000,202078.01
-121.29,38.14,34,1500,337,674,282,2.515,,INLAND,2,,110800,108541
-118.84,34.16,18,6075,1056,2571,1018,5.22,,<1H OCEAN,4,,399400,356735.18
-120.47,37.29,16,749,222,1277,224,1.2054,,INLAND,1,,60900,70770
-122.8,38.37,26,1634,315,909,317,4.1731,,<1H OCEAN,3,,257200,258066
-117.08,32.62,28,2468,506,1353,522,3.0771,,NEAR OCEAN,3,,158600,144659
-119.71,34.41,18,1225,317,694,306,3.6823,,NEAR OCEAN,3,,255000,264360
-117.96,34.04,35,1141,212,924,212,3.1591,,<1H OCEAN,3,,148300,155202
-122.06,37.99,16,2445,469,721,474,2.8043,,NEAR BAY,2,,87500,169230
-121.25,38.14,16,1174,242,464,261,2.3,,INLAND,2,,133300,109673
-121.26,37.88,42,465,93,256,93,3.1719,,INLAND,3,,158300,153424
-122.28,40.5,21,2405,476,1197,412,2.6488,,INLAND,2,,83100,96340
-117.98,33.84,31,1252,225,714,226,4.6042,,<1H OCEAN,4,,220700,197880
-122.09,37.37,34,2165,355,776,339,5.2971,,NEAR BAY,4,,442100,321492.02
-118.08,33.93,34,1558,375,1179,337,3.2188,,<1H OCEAN,3,,165100,161995
-121.84,37.25,25,5939,989,3275,954,5.6488,,<1H OCEAN,4,,234600,273947
-115.56,32.78,29,1568,283,848,245,3.1597,,INLAND,3,,76200,76762
-117.37,33.7,8,4345,865,2425,785,3.2481,,<1H OCEAN,3,,123800,140061
-119.78,34.48,21,2377,322,1007,328,7.9248,,NEAR OCEAN,5,,500001,439259.28
-118.58,34.2,37,1389,252,826,249,5.015,,<1H OCEAN,4,,220900,252626.03
-119.22,34.26,16,2596,625,1403,562,3.4018,,NEAR OCEAN,3,,145200,219622.01
-122.09,37.39,34,1508,483,774,443,2.7279,,NEAR BAY,2,,365600,204038
-118.37,34.05,48,1266,234,539,222,4.005,,<1H OCEAN,3,,275000,348945.04
-119.24,36.33,9,3289,621,1866,631,3.1599,,INLAND,3,,95000,90033
-117.68,34.15,4,4082,578,1996,580,6.7813,,INLAND,5,,286300,287331
-117.78,34.11,23,7079,1381,3205,1327,3.0735,,INLAND,3,,212300,166634
-119.65,36.34,46,1730,337,752,323,1.8529,,INLAND,2,,67200,61420
-118.15,34.07,40,1072,204,940,200,3.125,,<1H OCEAN,3,,242700,183387
-121.75,36.91,52,1211,447,1102,392,1.6875,,<1H OCEAN,2,,161400,149886
-121.65,36.77,15,2191,358,1150,330,4.7969,,<1H OCEAN,4,,227500,241178
-117.75,33.61,17,2499,566,781,522,3.1779,,<1H OCEAN,3,,186500,182307.01
-117.41,33.94,22,4179,1081,2096,1013,2.4435,,INLAND,2,,118500,112638
-117.88,33.85,25,1234,351,507,285,2.3173,,<1H OCEAN,2,,225000,201469
-117.09,32.91,9,2012,316,802,289,6.5706,,<1H OCEAN,5,,255700,272488
-119.18,35.5,36,1253,259,932,249,2.1635,,INLAND,2,,110400,58500
-118.08,34.1,36,2679,548,1605,533,3.5313,,<1H OCEAN,3,,213200,228708
-118.15,34.2,37,1997,361,1037,363,3.7932,,INLAND,3,,210300,250589
-122.49,37.78,46,3304,792,1783,777,3.6148,,NEAR BAY,3,,352200,341807.06
-119.79,36.32,19,3252,614,1971,607,3.0667,,INLAND,3,,75800,80791
-117.66,34.09,23,1426,313,954,319,3.0357,,INLAND,3,,151500,132917
-122.29,37.81,50,760,190,377,122,0.9011,,NEAR BAY,1,,86100,94754
-118.27,33.79,26,2109,651,2120,605,2.1447,,<1H OCEAN,2,,158700,143331
-118.37,34.03,43,1350,287,811,307,3.3636,,<1H OCEAN,3,,140900,235900.01
-117.96,33.83,29,1194,176,474,170,6.1001,,<1H OCEAN,5,,298900,284522.05
-119.2,34.27,8,4942,1173,3012,1033,3.445,,NEAR OCEAN,3,,203400,221552
-118.27,33.98,39,2062,588,1933,570,1.3801,,<1H OCEAN,1,,97000,100535
-119.17,34.26,10,3654,541,1638,551,6.1885,,NEAR OCEAN,5,,267300,337450.13
-118.5,34.52,3,6577,1056,3032,1004,5.9263,,INLAND,4,,251800,236592
-122.27,40.46,14,2633,530,1324,513,2.2768,,INLAND,2,,78600,85716
-117.89,33.71,24,4365,804,2663,753,4.5814,,<1H OCEAN,4,,233300,214156
-121.82,37.37,42,2913,577,1873,580,3.7214,,<1H OCEAN,3,,167900,193463
-117.71,33.54,15,2460,368,962,320,7.3878,,<1H OCEAN,5,,318300,322885.01
-122.48,38.54,37,1898,359,973,340,4.2096,,INLAND,3,,256600,225703
-117.94,34.09,21,2707,675,1742,626,2.1062,,<1H OCEAN,2,,176700,164140
-117.15,32.74,26,3149,832,1320,808,3.0259,,NEAR OCEAN,3,,211700,199162
-118.25,34.02,32,1375,448,1698,432,1.6302,,<1H OCEAN,2,,130700,114988
-117.38,34.11,36,1497,264,894,275,3.3066,,INLAND,3,,96300,105206
-117.38,34.13,23,1326,300,722,263,2.1856,,INLAND,2,,107800,96838
-121.8,38.68,11,3851,892,1847,747,3.4331,,INLAND,3,,120600,132336
